254,  6
253,  14
252,  20
251,  28
254,  6
254,  6
253,  14
252,  20
251,  28
250,  42
249,  54
248,  63
247,  77
246,  88
245,  100
244,  110
243,  121
242,  136
241,  145
240,  158
239,  169
238,  180
237,  198
236,  210
235,  225
234,  239
233,  253
232,  270
231,  282
230,  298
229,  314
228,  345
227,  366
226,  395
225,  428
224,  457
223,  479
222,  505
221,  535
220,  562
219,  598
218,  624
217,  654
216,  682
215,  721
214,  746
213,  774
212,  833
211,  876
210,  920
209,  966
208,  1015
207,  1078
206,  1123
205,  1166
204,  1221
203,  1282
202,  1358
201,  1422
200,  1482
199,  1539
198,  1587
197,  1659
196,  1734
195,  1828
194,  1935
193,  2034
192,  2142
191,  2276
190,  2422
189,  2573
188,  2699
187,  2838
186,  3020
185,  3204
184,  3381
183,  3583
182,  3778
181,  3964
180,  4172
179,  4386
178,  4652
177,  4934
176,  5221
175,  5560
174,  5934
173,  6295
172,  6670
171,  7020
170,  7411
169,  7808
168,  8229
167,  8673
166,  9101
165,  9594
164,  10063
163,  10576
162,  11045
161,  11533
160,  12079
159,  12620
158,  13224
157,  13829
156,  14475
155,  15167
154,  15885
153,  16608
152,  17365
151,  18146
150,  18901
149,  19002
148,  19753
147,  20662
146,  21536
145,  22487
144,  23502
143,  24617
142,  25749
141,  26915
140,  28107
139,  29272
138,  30494
137,  31765
136,  33094
135,  34510
134,  35953
133,  37510
132,  38988
131,  40494
130,  42098
129,  43684
128,  45309
127,  46945
126,  48677
125,  50501
124,  52412
123,  54480
122,  56645
121,  58939
120,  61365
119,  63880
118,  66542
117,  69279
116,  72079
115,  75148
114,  78434
113,  81768
112,  85177
111,  88950
110,  92954
109,  96947
108,  101055
107,  105471
106,  110026
105,  114869
104,  119880
103,  125132
102,  130432
101,  136126
100,  142358
99,  149275
98,  156860
97,  164970
96,  174079
95,  184727
94,  197873
93,  215324
92,  240719
91,  278732
254,  7
253,  12
252,  20
251,  24
250,  28
249,  37
248,  41
247,  44
246,  48
245,  57
244,  63
243,  66
242,  70
241,  79
240,  84
239,  95
238,  99
237,  105
236,  120
235,  129
234,  138
233,  147
232,  159
231,  165
230,  172
229,  182
228,  194
227,  206
226,  210
225,  218
224,  226
223,  234
222,  247
221,  264
220,  280
219,  299
218,  305
217,  314
216,  329
215,  350
214,  375
213,  391
212,  409
211,  436
210,  459
209,  473
208,  494
207,  515
206,  541
205,  561
204,  588
203,  613
202,  635
201,  656
200,  680
199,  698
198,  725
197,  744
196,  778
195,  807
194,  827
193,  850
